Capacity(mAh),Config (s),Discharge (c),Height-B(mm),Length-A(mm),Max Charge Rate (C),Weight (g),Width-C(mm),description
5000.0,6.0,65.0,49.0,153.0,8.0,844.0,55.0,Turnigy nano-tech 5000mah 6S 65~130C Lipo Pack
5000.0,8.0,65.0,49.0,154.0,8.0,1106.0,72.0,Turnigy nano-tech 5000mah 8S 65~130C Lipo Pack
160.0,1.0,25.0,6.0,46.0,10.0,5.0,11.0,Turnigy nano-tech 160mah 1S 25C Lipo Pack (Nine Eagles style - T1 Single Rail for 2010plus)
160.0,1.0,25.0,7.0,39.0,10.0,4.0,11.0,Turnigy nano-tech 160mah 1S 25~40C Lipo Pack (Fits Align Trex 100)
120.0,2.0,25.0,7.5,33.0,5.0,9.0,20.0,Turnigy nano-tech 120mAh 2S 25C Lipo Pack (E-flite micro series compatible)
180.0,2.0,25.0,10.0,34.0,5.0,12.0,21.0,Turnigy nano-tech 180mAh 2S 25C Lipo Pack (E-flite micro series compatible)
4000.0,2.0,2.0,50.0,71.0,1.0,133.0,19.0,Turnigy 4000mAh Spektrum DX8 Intelligent Transmitter Pack.
220.0,1.0,0.0,20.0,31.0,0.0,6.0,7.0,HK189 / HK188 Battery 3.7V 220mAh
5800.0,1.0,60.0,46.0,92.0,1.0,177.0,19.0,ZIPPY Flightmax 5800mah 1S2P 60C Hardcase Car Lipoly 
4200.0,2.0,40.0,47.0,138.0,8.0,230.0,23.0,Turnigy nano-tech 4200mah 2S2P 40~80C Hardcase Lipo Pack
1600.0,2.0,20.0,28.0,92.0,2.0,85.0,19.0,Turnigy 1600mAh 2S 20C Lipo Pack (Losi Mini Compatible)
300.0,1.0,35.0,17.0,43.0,2.0,8.0,6.0,Turnigy nano-tech 300mah 1S 35~70C Lipo Pack (Fits Nine Eagles Solo-Pro 100)
600.0,1.0,35.0,7.0,79.0,2.0,16.0,19.0,"Turnigy nano-tech 600mah 1S 35~70C Lipo Pack (Fits Nine Eagles Solo Pro 328, Eflite MQX, 120SR)"
750.0,1.0,35.0,24.0,43.0,2.0,18.0,9.0,Turnigy nano-tech 750mah 1S 35~70C Lipo Pack (Fits Nine Eagles Solo-Pro 180)
950.0,1.0,25.0,7.0,68.0,5.0,25.0,25.0,"Turnigy nano-tech 950mah 1S 25~50C Lipo Pack (Fits Walkera V120, X100)"
950.0,2.0,25.0,25.0,71.0,5.0,46.0,14.0,Turnigy nano-tech 950mah 2S 25~50C Lipo Pack
950.0,3.0,25.0,25.0,72.0,5.0,69.0,20.0,Turnigy nano-tech 950mah 3S 25~50C Lipo Pack
2200.0,2.0,40.0,34.0,87.0,10.0,120.0,19.0,Turnigy nano-tech 2200mah 2S 40~80C Lipo Pack (TRA2820 Traxxas 1/16 models)
1400.0,3.0,40.0,34.0,87.0,10.0,119.0,19.0,Turnigy nano-tech 1400mah 3S 40~80C Lipo Pack (TRA2823 Traxxas 1/16 models)
6600.0,2.0,65.0,46.0,138.0,10.0,320.0,25.0,Turnigy nano-tech 6600mah 2S2P 65~130C Hardcase Lipo Pack
1300.0,6.0,25.0,35.0,76.0,2.0,195.0,42.0,Turnigy 1300mAh 6S 25C Lipo Pack (450 helicopter HK/Trex/Rave/E4 etc)
1300.0,6.0,35.0,35.0,76.0,2.0,218.0,46.0,Turnigy 1300mAh 6S 35C Lipo Pack (450 helicopter HK/Trex/Rave/E4 etc)
4000.0,2.0,25.0,47.0,138.0,2.0,235.0,23.0,ZIPPY Flightmax 4000mAh 2S1P 25C Car Lipoly (ROAR APPROVED)
5000.0,2.0,30.0,47.0,137.0,2.0,278.0,24.0,ZIPPY Flightmax 5000mAh 2S1P 30C hardcase pack (ROAR APPROVED)
5200.0,2.0,30.0,46.0,137.0,2.0,314.0,25.0,ZIPPY Flightmax 5200mAh 2S2P 30C hardcase pack (ROAR APPROVED)
5000.0,2.0,20.0,45.0,135.0,5.0,276.0,22.0,Turnigy 5000mAh 2S1P 20C hardcase pack (ROAR APPROVED)
5200.0,2.0,30.0,46.0,137.0,5.0,336.0,25.0,Turnigy 5200mAh 2S 30C Hard-Case Car Lipo Pack (ROAR APPROVED)
4500.0,4.0,30.0,45.0,138.0,2.0,528.0,44.0,Turnigy 4500mAh 4S 30C hardcase pack (ROAR APPROVED)
4000.0,2.0,30.0,45.0,135.0,2.0,254.0,21.0,Turnigy 4000mAh 2S 30C hardcase pack (ROAR APPROVED)
5000.0,2.0,30.0,46.0,137.0,2.0,340.0,25.0,Turnigy 5000mAh 2S1P 7.4v 30C hardcase pack (ROAR APPROVED)
5000.0,2.0,40.0,46.0,137.0,5.0,326.0,25.0,Turnigy 5000mAh 2S2P 40C hardcase pack (ROAR APPROVED)
500.0,2.0,25.0,30.0,56.0,5.0,29.0,9.0,ZIPPY Compact 500mAh 2S 25C Lipo Pack
500.0,3.0,25.0,30.0,56.0,5.0,42.0,13.0,ZIPPY Compact 500mAh 3S 25C Lipo Pack
850.0,2.0,25.0,30.0,55.0,5.0,44.0,14.0,ZIPPY Compact 850mAh 2S 25C Lipo Pack
850.0,3.0,25.0,31.0,59.0,5.0,64.0,20.0,ZIPPY Compact 850mAh 3S 25C Lipo Pack
1000.0,2.0,25.0,10.0,75.0,5.0,58.0,34.0,ZIPPY Compact 1000mAh 2S 25C Lipo Pack
1000.0,3.0,25.0,15.0,76.0,5.0,82.0,34.0,ZIPPY Compact 1000mAh 3S 25C Lipo Pack
1000.0,4.0,25.0,20.0,76.0,5.0,105.0,35.0,ZIPPY Compact 1000mAh 4S 25C Lipo Pack
1300.0,2.0,25.0,13.0,74.0,5.0,71.0,34.0,ZIPPY Compact 1300mAh 2S 25C Lipo Pack
1300.0,3.0,25.0,19.0,76.0,5.0,101.0,35.0,ZIPPY Compact 1300mAh 3S 25C Lipo Pack
1300.0,4.0,25.0,26.0,75.0,5.0,132.0,34.0,ZIPPY Compact 1300mAh 4S 25C Lipo Pack
1500.0,3.0,25.0,14.0,106.0,5.0,113.0,35.0,ZIPPY Compact 1500mAh 3S 25C Lipo Pack
1500.0,4.0,25.0,20.0,107.0,5.0,148.0,34.0,ZIPPY Compact 1500mAh 4S 25C Lipo Pack
1800.0,2.0,25.0,12.0,106.0,5.0,93.0,34.0,ZIPPY Compact 1800mAh 2S 25C Lipo Pack
1800.0,3.0,25.0,17.0,106.0,5.0,134.0,34.0,ZIPPY Compact 1800mAh 3S 25C Lipo Pack
1800.0,4.0,25.0,23.0,106.0,5.0,175.0,34.0,ZIPPY Compact 1800mAh 4S 25C Lipo Pack
2200.0,2.0,25.0,35.0,104.0,5.0,113.0,14.0,ZIPPY Compact 2200mAh 2S 25C Lipo Pack
2200.0,3.0,25.0,34.0,107.0,5.0,163.0,21.0,ZIPPY Compact 2200mAh 3S 25C Lipo Pack
2200.0,4.0,25.0,28.0,107.0,5.0,210.0,34.0,ZIPPY Compact 2200mAh 4S 25C Lipo Pack
2700.0,2.0,25.0,10.0,136.0,5.0,138.0,44.0,ZIPPY Compact 2700mAh 2S 25C Lipo Pack
2700.0,3.0,25.0,15.0,137.0,5.0,199.0,44.0,ZIPPY Compact 2700mAh 3S 25C Lipo Pack
2700.0,4.0,25.0,44.0,137.0,5.0,278.0,23.0,ZIPPY Compact 2700mAh 4S 25C Lipo Pack
2700.0,5.0,25.0,24.0,136.0,5.0,320.0,44.0,ZIPPY Compact 2700mAh 5S 25C Lipo Pack
2700.0,6.0,25.0,30.0,137.0,5.0,380.0,45.0,ZIPPY Compact 2700mAh 6S 25C Lipo Pack
2700.0,6.0,25.0,51.0,275.0,5.0,445.0,16.0,ZIPPY Compact 2700mAh 6S 25C Long Lipo Pack
3700.0,2.0,25.0,44.0,146.0,5.0,182.0,13.0,ZIPPY Compact 3700mAh 2S 25C Lipo Pack
3700.0,3.0,25.0,19.0,146.0,5.0,264.0,43.0,ZIPPY Compact 3700mAh 3S 25C Lipo Pack
3700.0,4.0,25.0,33.0,148.0,5.0,357.0,44.0,ZIPPY Compact 3700mAh 4S 25C Lipo Pack
3700.0,5.0,25.0,43.0,146.0,5.0,424.0,31.0,ZIPPY Compact 3700mAh 5S 25C Lipo Pack
3700.0,6.0,25.0,43.0,148.0,5.0,519.0,37.0,ZIPPY Compact 3700mAh 6S 25C Lipo Pack
4000.0,2.0,25.0,14.0,145.0,5.0,197.0,43.0,ZIPPY Compact 4000mAh 2S 25C Lipo Pack
4000.0,3.0,25.0,43.0,148.0,5.0,286.0,20.0,ZIPPY Compact 4000mAh 3S 25C Lipo Pack
4000.0,4.0,25.0,44.0,147.0,5.0,370.0,27.0,ZIPPY Compact 4000mAh 4S 25C Lipo Pack
4000.0,5.0,25.0,34.0,147.0,5.0,460.0,44.0,ZIPPY Compact 4000mAh 5S 25C Lipo Pack
4000.0,6.0,25.0,44.0,148.0,5.0,557.0,40.0,ZIPPY Compact 4000mAh 6S 25C Lipo Pack
4000.0,7.0,25.0,44.0,148.0,5.0,641.0,46.0,ZIPPY Compact 4000mAh 7S 25C Lipo Pack
4000.0,10.0,25.0,44.0,150.0,5.0,908.0,66.0,ZIPPY Compact 4000mAh 10S 25C Lipo Pack
4000.0,10.0,25.0,54.0,295.0,5.0,997.0,34.0,ZIPPY Compact 4000mAh 10S 25C Long Lipo Pack
5000.0,2.0,25.0,14.0,162.0,5.0,237.0,46.0, ZIPPY Compact 5000mAh 2S 25C Lipo Pack
5000.0,3.0,25.0,21.0,162.0,5.0,354.0,46.0,ZIPPY Compact 5000mAh 3S 25C Lipo Pack
5000.0,4.0,25.0,46.0,162.0,5.0,488.0,29.0,ZIPPY Compact 5000mAh 4S 25C Lipo Pack
5000.0,5.0,25.0,38.0,163.0,5.0,590.0,46.0,ZIPPY Compact 5000mAh 5S 25C Lipo Pack
5000.0,6.0,25.0,46.0,161.0,5.0,703.0,45.0,ZIPPY Compact 5000mAh 6S 25C Lipo Pack
5000.0,7.0,25.0,46.0,158.0,5.0,818.0,53.0,ZIPPY Compact 5000mAh 7S 25C Lipo Pack
5000.0,8.0,25.0,46.0,160.0,5.0,937.0,59.0,ZIPPY Compact 5000mAh 8S 25C Lipo Pack
5000.0,10.0,25.0,46.0,163.0,5.0,1161.0,74.0,ZIPPY Compact 5000mAh 10S 25C Lipo Pack
5000.0,10.0,25.0,52.0,325.0,5.0,1236.0,37.0,ZIPPY Compact 5000mAh 10S 25C Lipo Pack
5800.0,2.0,25.0,16.0,159.0,5.0,273.0,45.0,ZIPPY Compact 5800mAh 2S 25C Lipo Pack
5800.0,3.0,25.0,45.0,163.0,5.0,433.0,27.0,ZIPPY Compact 5800mAh 3S 25C Lipo Pack
5800.0,4.0,25.0,46.0,162.0,5.0,569.0,40.0,ZIPPY Compact 5800mAh 4S 25C Lipo Pack
5800.0,5.0,25.0,45.0,160.0,5.0,655.0,41.0,ZIPPY Compact 5800mAh 5S 25C Lipo Pack 
5800.0,6.0,25.0,46.0,163.0,5.0,843.0,53.0,ZIPPY Compact 5800mAh 6S 25C Lipo Pack
5800.0,7.0,25.0,46.0,160.0,5.0,913.0,57.0,ZIPPY Compact 5800mAh 7S 25C Lipo Pack
5800.0,8.0,25.0,46.0,167.0,5.0,1020.0,64.0,ZIPPY Compact 5800mAh 8S 25C Lipo Pack
5800.0,10.0,25.0,45.0,162.0,5.0,1283.0,82.0,ZIPPY Compact 5800mAh 10S 25C Lipo Pack
1000.0,3.0,35.0,35.0,76.0,5.0,92.0,17.0,ZIPPY Compact 1000mAh 3S 35C Lipo Pack
1000.0,4.0,35.0,35.0,76.0,5.0,119.0,23.0,ZIPPY Compact 1000mAh 4S 35C Lipo Pack
1600.0,4.0,35.0,34.0,106.0,5.0,178.0,23.0,ZIPPY Compact 1600mAh 4S 35C Lipo Pack
2200.0,2.0,35.0,35.0,111.0,5.0,125.0,15.0,ZIPPY Compact 2200mAh 2S 35C Lipo Pack
2200.0,3.0,35.0,34.0,114.0,5.0,181.0,21.0,ZIPPY Compact 2200mAh 3S 35C Lipo Pack
2200.0,4.0,35.0,35.0,113.0,5.0,242.0,28.0,ZIPPY Compact 2200mAh 4S 35C Lipo Pack
2700.0,2.0,35.0,44.0,137.0,5.0,151.0,11.0,ZIPPY Compact 2700mAh 2S 35C Lipo Pack
2700.0,3.0,35.0,44.0,139.0,5.0,222.0,16.0,ZIPPY Compact 2700mAh 3S 35C Lipo Pack
2700.0,4.0,35.0,44.0,137.0,5.0,284.0,21.0,ZIPPY Compact 2700mAh 4S 35C Lipo Pack
2700.0,5.0,35.0,45.0,139.0,5.0,357.0,27.0,ZIPPY Compact 2700mAh 5S 35C Lipo Pack
2700.0,6.0,35.0,45.0,138.0,5.0,430.0,32.0,ZIPPY Compact 2700mAh 6S 35C Lipo Pack
2700.0,8.0,35.0,44.0,140.0,5.0,558.0,43.0,ZIPPY Compact 2700mAh 8S 35C Lipo Pack
3300.0,2.0,35.0,13.0,146.0,5.0,193.0,43.0,ZIPPY Compact 3300mAh 2S 35C Lipo Pack
3300.0,3.0,35.0,43.0,149.0,5.0,277.0,19.0,ZIPPY Compact 3300mAh 3S 35C Lipo Pack
3300.0,4.0,35.0,44.0,145.0,5.0,350.0,25.0,ZIPPY Compact 3300mAh 4S 35C Lipo Pack
3300.0,5.0,35.0,44.0,148.0,5.0,433.0,32.0,ZIPPY Compact 3300mAh 5S 35C Lipo Pack
3300.0,6.0,35.0,37.0,148.0,5.0,521.0,44.0,ZIPPY Compact 3300mAh 6S 35C Lipo Pack
3300.0,10.0,35.0,45.0,150.0,5.0,845.0,61.0,ZIPPY Compact 3300mAh 10S 35C Lipo Pack
3700.0,3.0,35.0,43.0,145.0,5.0,297.0,21.0,ZIPPY Compact 3700mAh 3S 35C Lipo Pack
3700.0,4.0,35.0,44.0,147.0,5.0,393.0,27.0,ZIPPY Compact 3700mAh 4S 35C Lipo Pack
3700.0,5.0,35.0,44.0,148.0,5.0,487.0,35.0,ZIPPY Compact 3700mAh 5S 35C Lipo Pack
3700.0,6.0,35.0,44.0,147.0,5.0,593.0,45.0,ZIPPY Compact 3700mAh 6S 35C Lipo Pack
3700.0,8.0,35.0,44.0,149.0,5.0,765.0,57.0,ZIPPY Compact 3700mAh 8S 35C Lipo Pack
4500.0,2.0,35.0,45.0,161.0,5.0,249.0,15.0,ZIPPY Compact 4500mAh 2S 35C Lipo Pack
4500.0,3.0,35.0,45.0,163.0,5.0,360.0,22.0,ZIPPY Compact 4500mAh 3S 35C Lipo Pack
4500.0,4.0,35.0,46.0,163.0,5.0,466.0,29.0,ZIPPY Compact 4500mAh 4S 35C Lipo Pack
4500.0,5.0,35.0,36.0,164.0,5.0,581.0,45.0,ZIPPY Compact 4500mAh 5S 35C Lipo Pack
4500.0,6.0,35.0,46.0,163.0,5.0,696.0,44.0,ZIPPY Compact 4500mAh 6S 35C Lipo Pack
4500.0,7.0,35.0,45.0,166.0,5.0,809.0,50.0,ZIPPY Compact 4500mAh 7S 35C Lipo Pack
4500.0,8.0,35.0,45.0,168.0,5.0,911.0,58.0,ZIPPY Compact 4500mAh 8S 35C Lipo Pack
4500.0,10.0,35.0,45.0,163.0,5.0,1137.0,73.0,ZIPPY Compact 4500mAh 10S 35C Lipo Pack
4000.0,2.0,40.0,43.0,135.0,10.0,227.0,20.0,Turnigy nano-tech 4000mah 2S 40~80C Lipo Pack (TRA2841 Slash/Rustler/Bandit/Stampede compatible)
5800.0,2.0,40.0,43.0,135.0,10.0,308.0,24.0,Turnigy nano-tech 5800mah 2S 40~80C Lipo Pack (TRA2843 )
3300.0,3.0,40.0,44.0,135.0,10.0,264.0,21.0,Turnigy nano-tech 3300mah 3S 40~80C Lipo Pack (TRA2846 Slash/Rustler/Bandit/Stampede compatible)
4000.0,3.0,40.0,43.0,136.0,10.0,321.0,25.0,Turnigy nano-tech 4000mah 3S 40~80C Lipo Pack (TRA2849 Slash/Rustler/Bandit/Stampede compatible)
10000.0,2.0,40.0,43.0,137.0,10.0,499.0,41.0,Turnigy nano-tech 10000mah 2S 40~80C Lipo Pack (TRA2854 Stampede/Rustler/Bandit compatible)
6400.0,3.0,40.0,44.0,137.0,5.0,506.0,41.0,Turnigy nano-tech 6400mah 3S 40~80C Lipo Pack (TRA2857 Stampede/Rustler/Bandit compatible)
7600.0,2.0,40.0,45.0,154.0,10.0,377.0,27.0,Turnigy nano-tech 7600mah 2S 40~80C Lipo Pack (TRA2869 Summit/E-Revo/E-Maxx)
5000.0,3.0,40.0,44.0,154.0,10.0,404.0,27.0,Turnigy nano-tech 5000mah 3S 40~80C Lipo Pack (TRA2872 Slash/Slash 4x4)
12800.0,2.0,40.0,45.0,154.0,10.0,614.0,42.0,Turnigy nano-tech 12800mah 2S 40~80C Lipo Pack (TRA2875 Summit/E-Revo/E-Maxx compatible)
8400.0,3.0,40.0,45.0,157.0,10.0,641.0,45.0,Turnigy nano-tech 8400mah 3S 40~80C Lipo Pack (TRA2878 Slash VXL/Slash 4x4 compatible)
300.0,2.0,35.0,17.0,44.0,2.0,17.0,12.0,Turnigy nano-tech 300mah 2S 35~70C Lipo Pack
1300.0,6.0,45.0,35.0,75.0,10.0,223.0,47.0,Turnigy nano-tech 1300mah 6S 45~90C Lipo Pack (450 helicopter HK/Trex/Rave/E4 etc)
4200.0,2.0,65.0,46.0,96.0,5.0,190.0,25.0,Turnigy nano-tech Shorty 4200mah 2S2P 65~130C Hardcase Lipo Pack (ROAR APPROVED)
180.0,2.0,25.0,20.0,35.0,2.0,13.0,10.0,Turnigy nano-tech 180mah 2S 25~40C Lipo Pack
80.0,1.0,15.0,7.0,30.0,5.0,2.0,7.0,Turnigy nano-tech 80mAh 1s 15c Round Lipo
90.0,1.0,15.0,6.0,36.0,5.0,3.0,6.0,Turnigy nano-tech 90mah 1S 15C Round Lipo
130.0,1.0,15.0,7.0,39.0,5.0,4.0,7.0,Turnigy nano-tech 130mAh 1s 15c Round Lipo
200.0,1.0,15.0,7.0,52.0,5.0,5.0,7.0,Turnigy nano-tech 200mah 1S 15C Round Lipo
180.0,1.0,15.0,8.0,38.0,5.0,4.0,8.0, Turnigy nano-tech 180mAh 15c Round Lipo
270.0,1.0,15.0,8.0,56.0,5.0,6.0,8.0,Turnigy nano-tech 270mah 1S 15C Round Lipo 
350.0,1.0,15.0,8.0,70.0,5.0,10.0,8.0,Turnigy nano-tech 350mah 1S 15C Round Lipo
650.0,1.0,15.0,13.0,41.0,5.0,13.0,13.0,Turnigy nano-tech 650mAh 1S 15c Round Lipo
900.0,1.0,15.0,12.0,58.0,5.0,18.0,12.0,Turnigy nano-tech 900mah 1S 15C Round Lipo
1000.0,1.0,15.0,13.0,70.0,5.0,20.0,12.0,Turnigy nano-tech 1000mah 1S 15C Round Lipo
1200.0,1.0,15.0,15.0,58.0,5.0,23.0,15.0,Turnigy nano-tech 1200mah 1S 15C Round Lipo 
180.0,3.0,25.0,20.0,35.0,2.0,19.0,15.0,Turnigy nano-tech 180mah 3S 25~40C Lipo Pack
2500.0,3.0,5.0,30.0,95.0,5.0,147.0,24.0,Turnigy nano-tech 2500mAh 3S1P 5~10C Transmitter Lipo Pack
2500.0,3.0,5.0,50.0,106.0,2.0,155.0,14.0,Turnigy nano-tech 2500mAh 3S1P 5~10C Transmitter Lipo Pack  
1300.0,2.0,20.0,34.0,71.0,5.0,67.0,14.0,Turnigy nano-tech 1300mAh 2S1P 20~40C Lipo Receiver Pack  
1500.0,2.0,20.0,34.0,87.0,5.0,75.0,13.0,Turnigy nano-tech 1500mAh 2S1P 20~40C Lipo Receiver Pack 
2000.0,2.0,20.0,34.0,87.0,5.0,98.0,17.0,Turnigy nano-tech 2000mAh 2S1P 20~40C Lipo Receiver Pack
3000.0,2.0,20.0,34.0,88.0,5.0,146.0,25.0,Turnigy nano-tech 3000mAh 2S2P 20~40C Lipo Receiver Pack  
1300.0,6.0,25.0,34.0,104.0,5.0,206.0,29.0,Turnigy nano-tech 1300mAh 6S1P 25~50C Lipo Pack (450 helicopter HK/Trex/Rave/E4 etc)
1300.0,6.0,35.0,34.0,106.0,8.0,215.0,29.0,Turnigy nano-tech 1300mAh 6S1P 35~70C Lipo Pack (450 helicopter HK/Trex/Rave/E4 etc)
2650.0,6.0,65.0,44.0,135.0,8.0,465.0,38.0,Turnigy nano-tech A-SPEC 2650mah 6S 65~130C Lipo Pack
4000.0,10.0,65.0,48.0,303.0,8.0,1177.0,37.0,Turnigy nano-tech A-SPEC 4000mah 10S 65~130C Lipo Pack
