Capacity(mAh),Config (s),Discharge (c),Height-B(mm),Length-A(mm),Max Charge Rate (C),Weight (g),Width-C(mm),description
4500.0,5.0,65.0,49.0,153.0,8.0,637.0,40.0,Turnigy nano-tech A-SPEC 4500mah 5S 65~130C Lipo Pack
4500.0,10.0,65.0,52.0,297.0,8.0,1305.0,41.0,Turnigy nano-tech A-SPEC 4500mah 10S 65~130C Lipo Pack
6200.0,2.0,65.0,47.0,138.0,8.0,301.0,25.0,Turnigy nano-tech A-SPEC 6200mah 2S 65~130C Hardcase Lipo Pack
4200.0,2.0,65.0,46.0,95.0,8.0,195.0,25.0,Turnigy nano-tech A-SPEC 4200mah 2S 65~130C Hardcase Shorty Lipo Pack
6000.0,1.0,65.0,47.0,93.0,8.0,143.0,18.0,Turnigy nano-tech A-SPEC 6000mah 1S 65~130C Hardcase Lipo Pack
5600.0,2.0,65.0,46.0,69.0,8.0,132.0,25.0,Turnigy nano-tech A-SPEC 5600mah 2S 65~130C Hardcase Lipo Saddle Pack
6600.0,2.0,65.0,43.0,150.0,8.0,274.0,20.0,Turnigy nano-tech A-SPEC 6600mah 2S 65~130C Lipo Boat Pack
4500.0,3.0,65.0,44.0,150.0,8.0,278.0,20.0,Turnigy nano-tech A-SPEC 4500mah 3S 65~130C Lipo Boat Pack
2200.0,3.0,35.0,34.0,107.0,2.0,201.0,26.0,B-Grade 2200mAh 3S 35C Lipoly Battery
2450.0,3.0,30.0,43.0,136.0,2.0,226.0,18.0,B-Grade 2450mAh 3S 30C Lipoly Battery
2650.0,3.0,30.0,43.0,140.0,2.0,250.0,19.0,B-Grade 2650mAh 3S 30C Lipoly Battery
2650.0,4.0,30.0,44.0,136.0,2.0,315.0,25.0,B-Grade 2650mAh 4S 30C Lipoly Battery
2650.0,4.0,40.0,43.0,135.0,2.0,321.0,26.0,B-Grade 2650mAh 4S 40C Lipoly Battery
3000.0,3.0,40.0,42.0,137.0,2.0,280.0,22.0,B-Grade 3000mAh 3S 40C Lipoly Battery
3300.0,3.0,30.0,43.0,140.0,2.0,300.0,22.0,B-Grade 3300mAh 3S 30C Lipoly Battery
1800.0,3.0,20.0,35.0,115.0,5.0,168.0,25.0,Zippy-K Flightmax 1800mah 3S1P 20C Lipoly Battery
2500.0,4.0,20.0,33.0,116.0,5.0,246.0,37.0,Zippy-K Flightmax 2500mah 4S1P 20C Lipoly Battery
2500.0,5.0,20.0,33.0,113.0,5.0,310.0,50.0,Zippy-K Flightmax 2500mah 5S1P 20C Lipoly Battery
3000.0,4.0,20.0,44.0,140.0,5.0,305.0,28.0,Zippy-K Flightmax 3000mah 4S1P 20C Lipoly Battery
4000.0,4.0,25.0,50.0,165.0,5.0,435.0,30.0,Zippy-K Flightmax 4000mah 4S1P 25C Lipoly Battery
260.0,1.0,35.0,20.0,32.0,5.0,8.0,7.0,Turnigy nano-tech 260mAh 1S 35-70C Lipo Pack (QR Ladybird/Genius CP/Mini CP)
2200.0,6.0,65.0,35.0,105.0,8.0,380.0,52.0,Turnigy nano-tech A-SPEC 2200mah 6S 65~130C Lipo Pack
350.0,2.0,25.0,30.0,58.0,5.0,25.0,8.0,ZIPPY Compact 350mAh 2S 25C Lipo Pack
350.0,3.0,25.0,30.0,58.0,5.0,38.0,11.0,ZIPPY Compact 350mAh 3S 25C Lipo Pack
500.0,2.0,35.0,30.0,58.0,5.0,32.0,10.0,ZIPPY Compact 500mAh 2S 35C Lipo Pack
500.0,3.0,35.0,30.0,58.0,5.0,47.0,15.0,ZIPPY Compact 500mAh 3S 35C Lipo Pack
850.0,2.0,35.0,30.0,58.0,5.0,50.0,16.0,ZIPPY Compact 850mAh 2S 35C Lipo Pack
850.0,3.0,35.0,30.0,58.0,5.0,73.0,24.0,ZIPPY Compact 850mAh 3S 35C Lipo Pack
1300.0,4.0,35.0,34.0,78.0,5.0,150.0,29.0,ZIPPY Compact 1300mAh 4S 35C Lipo Pack
1500.0,3.0,35.0,34.0,108.0,5.0,138.0,18.0,ZIPPY Compact 1500mAh 3S 35C Lipo Pack
1600.0,4.0,25.0,34.0,108.0,5.0,152.0,20.0,ZIPPY Compact 1600mAh 4S 25C Lipo Pack
1800.0,3.0,35.0,34.0,108.0,5.0,155.0,20.0,ZIPPY Compact 1800mAh 3S 35C Lipo Pack
1800.0,4.0,35.0,34.0,108.0,5.0,205.0,29.0,ZIPPY Compact 1800mAh 4S 35C Lipo Pack
2450.0,3.0,35.0,34.0,114.0,5.0,210.0,25.0,ZIPPY Compact 2450mAh 3S 35C Lipo Pack
2450.0,4.0,35.0,34.0,114.0,5.0,265.0,32.0,ZIPPY Compact 2450mAh 4S 35C Lipo Pack
2450.0,5.0,35.0,34.0,114.0,5.0,335.0,42.0,ZIPPY Compact 2450mAh 5S 35C Lipo Pack
2450.0,6.0,35.0,34.0,114.0,5.0,390.0,49.0,ZIPPY Compact 2450mAh 6S 35C Lipo Pack
1500.0,2.0,25.0,33.0,87.0,5.0,86.0,15.0,Turnigy nano-tech 1500mah 2S 25~50C Lipo Pack
1500.0,3.0,25.0,34.0,87.0,5.0,124.0,21.0,Turnigy nano-tech 1500mah 3S 25~50C Lipo Pack
1500.0,2.0,35.0,35.0,85.0,8.0,91.0,14.0,Turnigy nano-tech 1500mah 2S 35~70C Lipo Pack
1500.0,3.0,35.0,34.0,88.0,8.0,129.0,21.0,Turnigy nano-tech 1500mah 3S 35~70C Lipo Pack
1500.0,2.0,25.0,34.0,77.0,5.0,79.0,18.0,Turnigy 1500mAh 2S 25C Lipoly Battery
1500.0,3.0,25.0,34.0,80.0,5.0,122.0,25.0,Turnigy 1500mAh 3S 25C Lipo Pack
450.0,2.0,65.0,29.0,48.0,5.0,26.0,11.0,Turnigy nano-tech 450mAh 2S 65-130C Lipo Pack (E-flite Blade 130X)
300.0,1.0,45.0,6.0,44.0,5.0,8.0,17.0,Turnigy nano-tech 300mah 1S 45C Lipo Pack (Suits FBL100 and Blade mCPx)
300.0,1.0,45.0,17.0,43.0,2.0,9.0,6.0,Turnigy nano-tech 300mah 1S 45~90C Lipo Pack (Fits Nine Eagles Solo-Pro 100)
300.0,2.0,45.0,17.0,45.0,5.0,19.0,12.0,Turnigy nano-tech 300mah 2S 45~90C Lipo Pack
260.0,2.0,35.0,20.0,33.0,5.0,14.0,14.0,Turnigy nano-tech 260mah 2S 35~70C Lipo Pack (E-flite EFLB2002S25 micro series compatible)
260.0,2.0,35.0,20.0,33.0,5.0,16.0,14.0,Turnigy nano-tech 260mah 2S 35~70C Lipo Pack
4000.0,12.0,65.0,52.0,305.0,8.0,1418.0,45.0,Turnigy nano-tech A-SPEC 4000mah 12S 65~130C Lipo Pack
4500.0,12.0,65.0,52.0,295.0,8.0,1530.0,49.0,Turnigy nano-tech A-SPEC 4500mah 12S 65~130C Lipo Pack
5000.0,12.0,65.0,52.0,300.0,8.0,1717.0,56.0,Turnigy nano-tech A-SPEC 5000mah 12S 65~130C Lipo Pack 
1800.0,2.0,12.0,50.0,70.0,2.0,90.0,15.0,Turnigy 1800mAh 2S 12C Lipo Receiver Pack
3600.0,2.0,12.0,45.0,77.0,2.0,186.0,28.0,Turnigy 3600mAh 2S 12C Lipo Receiver Pack
300.0,2.0,35.0,18.0,44.0,5.0,16.0,12.0,Turnigy nano-tech 300mah 2S 35~70C Lipo Pack (E-flite EFLB2002S25 micro series compatible)
2200.0,3.0,1.5,33.0,100.0,1.0,139.0,19.0,Turnigy 9XR Safety Protected 11.1v (3s) 2200mAh 1.5C Transmitter Pack
1000.0,2.0,20.0,20.0,101.0,5.0,51.0,11.0,Turnigy nano-tech 1000mah 2S 20~40C Lipo AIRSOFT Pack
600.0,1.0,20.0,24.0,42.0,2.0,18.0,10.0,"Walkera 600mAh 1S 20C Lipo Battery Pack (Suits QR Infra X, V120D02S)"
2200.0,2.0,30.0,34.0,87.0,2.0,120.0,19.0,ZIPPY Traxxas 2200mAh 2S1P 30C Lipo Pack (Suits TRA2820)
3300.0,2.0,30.0,43.0,138.0,2.0,200.0,24.0,ZIPPY Traxxas 3300mAh 2S1P 30C Lipo Pack (Suits TRA2840)
3800.0,2.0,30.0,44.0,156.0,2.0,227.0,25.0,ZIPPY Traxxas 3800mAh 2S1P 30C Lipo Pack (Suits TRA2866)
4000.0,2.0,30.0,43.0,136.0,2.0,231.0,25.0,ZIPPY Traxxas 4000mAh 2S1P 30C Lipo Pack (Suits TRA2841)
6000.0,2.0,30.0,44.0,138.0,2.0,329.0,26.0,ZIPPY Traxxas 6000mAh 2S1P 30C Lipo Pack (Suits TRA2843)
7600.0,2.0,30.0,45.0,157.0,2.0,367.0,25.0,ZIPPY Traxxas 7600mAh 2S1P 30C Lipo Pack (Suits TRA2869)
13000.0,2.0,30.0,45.0,156.0,2.0,625.0,44.0,ZIPPY Traxxas 13000mAh 2S1P 30C Lipo Pack (Suits TRA2875)
1400.0,3.0,30.0,35.0,90.0,2.0,121.0,19.0,ZIPPY Traxxas 1400mAh 3S1P 30C Lipo Pack (Suits TRA2823)
4000.0,3.0,30.0,44.0,137.0,2.0,324.0,25.0,ZIPPY Traxxas 4000mAh 3S1P 30C Lipo Pack (Suits TRX2849)
5000.0,3.0,30.0,45.0,154.0,2.0,359.0,24.0,ZIPPY Traxxas 5000mAh 3S1P 30C Lipo Pack (Suits TRA2872)
6400.0,3.0,30.0,44.0,138.0,2.0,522.0,41.0,ZIPPY Traxxas 6400mAh 3S1P 30C Lipo Pack (Suits TRA2857)
8400.0,3.0,30.0,45.0,156.0,2.0,614.0,43.0,ZIPPY Traxxas 8400mAh 3S1P 30C Lipo Pack (Suits TRA2878)
1000.0,3.0,20.0,20.0,101.0,5.0,72.0,16.0,Turnigy nano-tech 1000mAh 3S 20-40C Lipo AIRSOFT Pack
1000.0,2.0,2.0,20.0,100.0,5.0,55.0,6.0,Turnigy nano-tech 1000mAh 2S 20-40C Lipo AIRSOFT Pack
1000.0,3.0,20.0,20.0,100.0,5.0,78.0,6.0,Turnigy nano-tech 1000mAh 3S 20-40C Lipo AIRSOFT Pack
1500.0,2.0,20.0,30.0,97.0,5.0,80.0,14.0,Turnigy nano-tech 1500mAh 2S 20-40C Lipo AIRSOFT Pack
1500.0,3.0,20.0,31.0,98.0,5.0,116.0,20.0,Turnigy nano-tech 1500mAh 3S 20-40C Lipo AIRSOFT Pack
1500.0,2.0,20.0,29.0,95.0,5.0,82.0,7.0,Turnigy nano-tech 1500mAh 2S 20-40C Lipo AIRSOFT Pack
1500.0,3.0,20.0,31.0,95.0,5.0,123.0,7.0,Turnigy nano-tech 1500mAh 3S 20-40C Lipo AIRSOFT Pack
1200.0,2.0,25.0,17.0,116.0,5.0,55.0,13.0,Turnigy nano-tech 1200mAh 2S 25-50C Lipo AIRSOFT Pack
1200.0,3.0,25.0,16.0,116.0,5.0,80.0,19.0,Turnigy nano-tech 1200mAh 3S 25-50C Lipo AIRSOFT Pack
1200.0,2.0,25.0,16.0,118.0,5.0,59.0,7.0,Turnigy nano-tech 1200mAh 2S 25-50C Lipo AIRSOFT Pack
1200.0,3.0,25.0,16.0,116.0,5.0,85.0,6.0,Turnigy nano-tech 1200mAh 3S 25-50C Lipo AIRSOFT Pack
5000.0,2.0,60.0,25.0,139.0,5.0,315.0,46.0,Turnigy 5000mAh 2S 7.4V 60C Hardcase Pack
5000.0,4.0,60.0,44.0,164.0,5.0,637.0,52.0,Turnigy 5000mAh 4S 14.8V 60C Hardcase Pack
5600.0,4.0,60.0,44.0,164.0,5.0,700.0,52.0,Turnigy 5600mAh 4S 14.8V 60C Hardcase Pack
6600.0,4.0,60.0,51.0,164.0,2.0,818.0,52.0,Turnigy 6600mAh 4S 14.8V 60C Hardcase Pack
7200.0,4.0,40.0,52.0,165.0,2.0,840.0,52.0,Turnigy 7200mAh 4S 14.8V 40C Hardcase Pack
4400.0,2.0,40.0,25.0,138.0,5.0,279.0,47.0,Turnigy 4400mAh 2S 7.4V 60C Hardcase Pack
5000.0,4.0,60.0,44.0,163.0,5.0,612.0,52.0,Turnigy 5000mAh 4S 14.8V 60C Hardcase Pack (Removable Leads)
5600.0,4.0,60.0,44.0,164.0,2.0,662.0,52.0,Turnigy 5600mAh 4S 14.8V 60C Hardcase Pack (Removable Leads)
6400.0,4.0,60.0,52.0,165.0,2.0,782.0,52.0,Turnigy 6400mAh 4S 14.8V 60C Hardcase Pack (Removable Leads)
5000.0,6.0,60.0,59.0,143.0,2.0,882.0,50.0,Turnigy Heavy Duty Series 5000mAh 6S 60C Lipo Pack
4200.0,5.0,25.0,43.0,147.0,5.0,538.0,40.0,ZIPPY Compact 4200mAh 5S 25C Lipo Pack
750.0,1.0,35.0,24.0,43.0,5.0,20.0,10.0,Turnigy nano-tech 750mAh 1S 35-70C Lipo Pack (for Walkera V120D02S/QR Infra X/QR W100S)
1800.0,3.0,65.0,31.0,102.0,8.0,159.0,25.0,Turnigy nano-tech A-SPEC G2 1800mah 3S 65~130C Lipo Pack
1800.0,4.0,65.0,31.0,102.0,8.0,205.0,33.0,Turnigy nano-tech A-SPEC G2 1800mah 4S 65~130C Lipo Pack
2200.0,3.0,65.0,34.0,103.0,8.0,192.0,26.0,Turnigy nano-tech A-SPEC G2 2200mah 3S 65~130C Lipo Pack
2200.0,4.0,65.0,34.0,103.0,8.0,249.0,33.0,Turnigy nano-tech A-SPEC G2 2200mah 4S 65~130C Lipo Pack
2600.0,3.0,65.0,39.0,129.0,8.0,229.0,22.0,Turnigy nano-tech A-SPEC G2 2600mah 3S 65~130C Lipo Pack
2600.0,4.0,65.0,39.0,129.0,8.0,296.0,28.0,Turnigy nano-tech A-SPEC G2 2600mah 4S 65~130C Lipo Pack
3200.0,3.0,65.0,43.0,138.0,8.0,282.0,21.0,Turnigy nano-tech A-SPEC G2 3200mah 3S 65~130C Lipo Pack
3200.0,4.0,65.0,43.0,138.0,8.0,364.0,28.0,Turnigy nano-tech A-SPEC G2 3200mah 4S 65~130C Lipo Pack
3200.0,6.0,65.0,43.0,138.0,8.0,522.0,40.0,Turnigy nano-tech A-SPEC G2 3200mah 6S 65~130C Lipo Pack
3700.0,3.0,65.0,44.0,138.0,8.0,317.0,24.0,Turnigy nano-tech A-SPEC G2 3700mah 3S 65~130C Lipo Pack
3700.0,4.0,65.0,44.0,138.0,8.0,408.0,31.0,Turnigy nano-tech A-SPEC G2 3700mah 4S 65~130C Lipo Pack
3700.0,6.0,65.0,44.0,138.0,8.0,594.0,46.0,Turnigy nano-tech A-SPEC G2 3700mah 6S 65~130C Lipo Pack
4250.0,3.0,65.0,45.0,138.0,8.0,350.0,27.0,Turnigy nano-tech A-SPEC G2 4250mah 3S 65~130C Lipo Pack
4250.0,4.0,65.0,45.0,138.0,8.0,455.0,36.0,Turnigy nano-tech A-SPEC G2 4250mah 4S 65~130C Lipo Pack
4250.0,6.0,65.0,45.0,138.0,8.0,663.0,52.0,Turnigy nano-tech A-SPEC G2 4250mah 6S 65~130C Lipo Pack
5000.0,4.0,65.0,46.0,156.0,8.0,537.0,35.0,Turnigy nano-tech A-SPEC G2 5000mah 4S 65~130C Lipo Pack
5000.0,5.0,65.0,46.0,156.0,8.0,658.0,42.0,Turnigy nano-tech A-SPEC G2 5000mah 5S 65~130C Lipo Pack
5000.0,6.0,65.0,46.0,156.0,8.0,786.0,51.0,Turnigy nano-tech A-SPEC G2 5000mah 6S 65~130C Lipo Pack
3700.0,3.0,20.0,46.0,138.0,5.0,286.0,24.0,Zippy-K Flightmax 3700mah 3S1P 20C Lipoly Battery
3700.0,4.0,20.0,44.0,137.0,5.0,366.0,32.0,Zippy-K Flightmax 3700mah 4S1P 20C Lipoly Battery
3700.0,5.0,20.0,48.0,139.0,5.0,460.0,39.0,Zippy-K Flightmax 3700mah 5S1P 20C Lipoly Battery
7500.0,2.0,90.0,25.0,138.0,2.0,350.0,47.0,Turnigy nano-tech Ultimate 7500mah 2S2P 90C Hardcase Lipo Pack (ROAR Approved)
5800.0,3.0,25.0,65.0,148.0,5.0,617.0,27.0,B-Grade 5800mAh 3S 25C Lipoly Battery
1550.0,6.0,65.0,34.0,120.0,5.0,247.0,27.0,Turnigy nano-tech 1550mah 6S 65~130C Lipo Pack (450L Heli)
2400.0,3.0,65.0,25.4,114.0,2.0,197.0,34.0,Turnigy Bolt 2400mAh 3S 11.4V 65~130C High Voltage Lipoly Pack
2400.0,4.0,65.0,33.0,114.0,2.0,248.0,34.0,Turnigy Bolt 2400mAh 4S 15.2V 65~130C High Voltage Lipoly Pack
2800.0,3.0,65.0,18.3,142.0,2.0,256.0,44.0,Turnigy Bolt 2800mAh 3S 11.4V 65~130C High Voltage Lipoly Pack
2800.0,4.0,65.0,24.0,142.0,2.0,314.0,44.0,Turnigy Bolt 2800mAh 4S 15.2V 65~130C High Voltage Lipoly Pack
3450.0,3.0,65.0,22.2,145.0,2.0,301.0,49.0,Turnigy Bolt 3450mAh 3S 11.4V 65~130C High Voltage Lipoly Pack
345.0,4.0,65.0,29.2,145.0,2.0,374.0,49.0,Turnigy Bolt 3450mAh 4S 15.2V 65~130C High Voltage Lipoly Pack
5400.0,3.0,65.0,28.6,167.0,2.0,439.0,49.0,Turnigy Bolt 5400mAh 3S 11.4V 65~130C High Voltage Lipoly Pack
5400.0,6.0,65.0,56.1,167.0,2.0,821.0,49.0,Turnigy Bolt 5400mAh 6S 22.8V 65~130C High Voltage Lipoly Pack
2400.0,2.0,65.0,17.2,114.0,2.0,134.0,34.0,Turnigy Bolt 2400mAh 2S 7.6V 65~130C High Voltage Lipoly Pack
6600.0,2.0,90.0,25.0,139.0,2.0,340.0,47.0,Turnigy nano-tech Ultimate 6600mah 2S2P 90C Hardcase Lipo Pack (ROAR Approved)
6000.0,2.0,90.0,25.0,139.0,2.0,340.0,47.0,Turnigy nano-tech Ultimate 6000mah 2S2P 90C Hardcase Lipo Pack (ROAR Approved)
6000.0,2.0,90.0,25.0,70.0,2.0,324.0,47.0,Turnigy nano-tech Ultimate 6000mah 2S3P 90C Hardcase Lipo Saddle Pack (ROAR Approved)
4600.0,2.0,90.0,25.0,96.0,2.0,237.0,47.0,Turnigy nano-tech Ultimate 4600mah 2S2P 90C Hardcase Lipo Short Pack (ROAR Approved)
6400.0,1.0,90.0,18.0,93.0,2.0,170.0,47.0,Turnigy nano-tech Ultimate 6400mah 1S2P 90C Hardcase Lipo Pack (ROAR Approved)
6400.0,2.0,90.0,25.0,93.0,2.0,326.0,68.0,Turnigy nano-tech Ultimate 6400mah 2S2P 90C Hardcase Lipo Square Pack
330.0,2.0,45.0,20.0,44.0,2.0,19.0,11.0,Turnigy nano-tech 330mah 2S 45~90C Lipo Pack for Align T-Rex 150 DFC
2200.0,4.0,60.0,34.0,107.0,2.0,257.0,35.0,Turnigy Heavy Duty 2200mAh 4S 60C Lipo Pack
2650.0,3.0,60.0,44.0,140.0,2.0,262.0,20.0,Turnigy Heavy Duty 2650mAh 3S 60C Lipo Pack
3000.0,3.0,60.0,44.0,140.0,2.0,289.0,22.0,Turnigy Heavy Duty 3000mAh 3S 60C Lipo Pack
3000.0,4.0,60.0,44.0,140.0,2.0,370.0,29.0,Turnigy Heavy Duty 3000mAh 4S 60C Lipo Pack
3000.0,6.0,60.0,44.0,140.0,2.0,540.0,44.0,Turnigy Heavy Duty 3000mAh 6S 60C Lipo Pack
3300.0,2.0,60.0,43.0,138.0,2.0,216.0,17.0,Turnigy Heavy Duty 3300mAh 2S 60C Lipo Pack
3300.0,3.0,60.0,43.0,138.0,2.0,312.0,24.0,Turnigy Heavy Duty 3300mAh 3S 60C Lipo Pack
3300.0,4.0,60.0,43.0,138.0,2.0,400.0,32.0,Turnigy Heavy Duty 3300mAh 4S 60C Lipo Pack
3300.0,6.0,60.0,43.0,138.0,2.0,585.0,47.0,Turnigy Heavy Duty 3300mAh 6S 60C Lipo Pack
4000.0,3.0,60.0,49.0,147.0,2.0,371.0,24.0,Turnigy Heavy Duty 4000mAh 3S 60C Lipo Pack
4000.0,4.0,60.0,49.0,147.0,2.0,476.0,32.0,Turnigy Heavy Duty 4000mAh 4S 60C Lipo Pack
4000.0,6.0,60.0,49.0,147.0,2.0,683.0,47.0,Turnigy Heavy Duty 4000mAh 6S 60C Lipo Pack
5000.0,3.0,6.0,50.0,147.0,2.0,464.0,30.0,Turnigy Heavy Duty 5000mAh 3S 60C Lipo Pack
5000.0,4.0,60.0,50.0,147.0,2.0,602.0,40.0,Turnigy Heavy Duty 5000mAh 4S 60C Lipo Pack
